表52：消費物價指數 （2019年10月至2020年9月＝100）,,,,,,,,,
,,,,,,,,,
,,綜合消費物價指數,綜合消費物價指數,甲類消費物價指數,甲類消費物價指數,乙類消費物價指數,乙類消費物價指數,丙類消費物價指數,丙類消費物價指數
,,指數,按年變動百分率,指數,按年變動百分率,指數,按年變動百分率,指數,按年變動百分率
年,月,,,,,,,,
2002,10,67.2,-3.6,65.6,-4.0,67.3,-3.5,69.0,-3.2
2002,11,67.1,-3.6,65.4,-4.1,67.3,-3.6,68.9,-3.1
2002,12,66.9,-1.5,65.3,1.0,67.1,-2.6,68.7,-2.8
2003,1,66.9,-1.6,65.2,-1.6,67.0,-1.7,68.6,-1.4
2003,2,66.7,-2.0,65.1,-2.0,66.8,-2.2,68.4,-1.9
2003,3,66.8,-2.1,65.5,-1.9,66.8,-2.3,68.4,-1.9
2003,4,66.9,-1.8,65.6,-1.2,66.9,-2.0,68.3,-2.1
2003,5,66.2,-2.5,65.0,-1.7,66.2,-2.7,67.5,-3.0
2003,6,65.6,-3.1,64.4,-2.4,65.7,-3.2,66.9,-3.7
2003,7,65.0,-4.0,63.6,-3.6,65.0,-4.1,66.4,-4.5
2003,8,64.9,-3.8,63.6,-3.5,65.0,-3.9,66.3,-4.1
2003,9,65.0,-3.2,63.8,-2.8,65.1,-3.2,66.4,-3.8
2003,10,65.4,-2.7,64.3,-2.0,65.5,-2.7,66.7,-3.3
2003,11,65.5,-2.4,64.2,-1.8,65.6,-2.5,67.0,-2.8
2003,12,65.7,-1.9,64.5,-1.2,65.7,-2.1,67.0,-2.5
2004,1,65.9,-1.5,64.7,-0.7,65.9,-1.6,67.2,-2.1
2004,2,65.4,-2.0,64.4,-1.1,65.4,-2.1,66.5,-2.8
2004,3,65.5,-2.1,64.3,-1.8,65.4,-2.1,66.7,-2.5
2004,4,65.8,-1.5,64.6,-1.5,65.8,-1.5,67.2,-1.6
2004,5,65.6,-0.9,64.5,-0.7,65.6,-0.9,66.8,-1.1
2004,6,65.5,-0.1,64.5,0.1,65.5,-0.2,66.7,-0.3
2004,7,65.5,0.9,64.6,1.5,65.5,0.8,66.6,0.4
2004,8,65.4,0.8,64.4,1.4,65.4,0.7,66.4,0.1
2004,9,65.5,0.7,64.6,1.3,65.5,0.6,66.6,0.3
2004,10,65.8,0.2,64.8,0.4,65.7,0.1,67.0,-0.1
2004,11,65.9,0.2,64.8,0.6,65.8,0.2,67.1,-0.2
2004,12,65.9,0.2,64.8,0.5,65.9,0.2,67.1,-0.1
2005,1,65.7,-0.5,64.8,-0.2,65.7,-0.5,66.7,-1.0
2005,2,65.9,0.8,65.0,1.1,66.0,0.8,66.8,0.5
2005,3,65.9,0.8,65.0,1.1,66.0,0.8,66.8,0.3
2005,4,66.1,0.5,65.1,0.7,66.1,0.4,67.2,0.2
2005,5,66.0,0.8,65.1,0.9,66.0,0.8,67.1,0.8
2005,6,66.2,1.2,65.3,1.3,66.2,1.2,67.2,1.0
2005,7,66.3,1.3,65.3,1.3,66.3,1.3,67.4,1.3
2005,8,66.2,1.4,65.2,1.3,66.2,1.4,67.3,1.5
2005,9,66.5,1.6,65.5,1.5,66.5,1.7,67.6,1.7
2005,10,66.6,1.3,65.6,1.2,66.6,1.4,67.9,1.3
2005,11,66.7,1.2,65.6,1.1,66.7,1.3,67.9,1.2
2005,12,66.8,1.3,65.7,1.3,66.8,1.4,68.0,1.3
2006,1,66.9,1.9,65.8,1.6,67.0,2.0,68.0,2.0
2006,2,66.7,1.2,65.8,1.1,66.8,1.2,67.7,1.4
2006,3,67.0,1.6,65.9,1.4,67.1,1.7,68.1,1.8
2006,4,67.3,1.9,66.1,1.7,67.4,2.0,68.5,2.0
2006,5,67.4,2.1,66.2,1.8,67.5,2.2,68.7,2.4
2006,6,67.6,2.2,66.5,1.9,67.7,2.2,68.8,2.5
2006,7,67.8,2.3,66.6,2.0,67.9,2.4,69.1,2.5
2006,8,67.8,2.5,66.7,2.3,67.9,2.6,69.0,2.6
2006,9,67.9,2.1,66.7,1.9,67.9,2.2,69.2,2.3
2006,10,68.0,2.0,66.7,1.7,68.0,2.1,69.3,2.1
2006,11,68.1,2.2,66.8,1.8,68.2,2.2,69.7,2.6
2006,12,68.3,2.3,67.0,1.9,68.4,2.3,69.8,2.7
2007,1,68.2,2.0,67.0,1.8,68.3,1.9,69.6,2.3
2007,2,67.3,0.8,63.7,-3.2,68.2,2.1,70.1,3.6
2007,3,68.6,2.4,67.4,2.2,68.6,2.3,69.9,2.7
2007,4,68.2,1.3,66.6,0.7,68.3,1.3,69.8,1.9
2007,5,68.2,1.2,66.7,0.7,68.3,1.3,69.9,1.7
2007,6,68.5,1.3,67.1,0.8,68.6,1.4,70.1,1.9
2007,7,68.9,1.5,67.3,1.0,69.0,1.6,70.5,2.1
2007,8,68.9,1.6,67.1,0.7,69.1,1.7,70.7,2.4
2007,9,69.0,1.6,67.3,1.0,69.1,1.8,70.7,2.2
2007,10,70.1,3.2,68.6,2.9,70.2,3.2,71.7,3.5
2007,11,70.5,3.4,68.8,3.1,70.6,3.5,72.2,3.6
2007,12,70.9,3.8,69.2,3.4,71.1,3.9,72.6,4.0
2008,1,70.4,3.2,68.9,2.9,70.6,3.3,72.0,3.5
2008,2,71.5,6.3,70.0,9.9,71.7,5.2,72.9,3.9
2008,3,71.5,4.2,69.9,3.8,71.7,4.4,72.9,4.4
2008,4,71.9,5.4,70.3,5.5,72.0,5.5,73.5,5.2
2008,5,72.1,5.7,70.5,5.6,72.3,5.8,73.8,5.5
2008,6,72.7,6.1,71.1,6.1,72.9,6.3,74.2,5.8
2008,7,73.2,6.3,71.6,6.4,73.4,6.5,74.8,6.1
2008,8,72.1,4.6,68.6,2.2,72.9,5.5,74.9,6.0
2008,9,71.1,3.0,67.1,-0.3,71.9,4.0,74.5,5.4
2008,10,71.4,1.8,67.4,-1.7,72.2,2.8,74.8,4.3
2008,11,72.6,3.1,70.3,2.1,72.9,3.3,74.9,3.8
2008,12,72.4,2.1,70.1,1.2,72.8,2.4,74.5,2.7
2009,1,72.6,3.1,70.4,2.1,73.0,3.4,74.6,3.7
2009,2,72.1,0.8,70.0,0.1,72.4,0.9,73.9,1.4
2009,3,72.3,1.2,70.3,0.5,72.6,1.3,74.1,1.7
2009,4,72.3,0.6,70.2,-0.2,72.7,0.9,74.4,1.2
2009,5,72.2,0.0 [φ3],70.1,-0.5,72.5,0.2,74.1,0.5
2009,6,72.1,-0.9,70.0,-1.6,72.4,-0.7,74.0,-0.3
2009,7,72.1,-1.5,70.0,-2.2,72.4,-1.4,74.1,-0.9
2009,8,70.9,-1.6,67.0,-2.4,71.8,-1.5,74.1,-1.0
2009,9,71.4,0.5,67.7,0.8,72.3,0.5,74.6,0.1
2009,10,73.2,2.2,71.4,5.2,73.3,1.3,74.9,0.1
2009,11,73.2,0.5,71.5,1.0,73.4,0.5,74.9,0.1
2009,12,73.5,1.3,71.8,1.7,73.7,1.2,75.2,0.9
2010,1,73.5,1.0,72.1,1.7,73.7,0.9,74.8,0.5
2010,2,74.2,2.8,72.9,3.4,74.4,2.7,75.6,2.2
2010,3,73.9,2.0,72.5,2.5,74.0,1.9,75.2,1.5
2010,4,74.2,2.4,72.6,2.9,74.3,2.3,76.0,2.0
2010,5,74.1,2.5,72.6,3.0,74.2,2.4,75.8,2.2
2010,6,74.2,2.8,72.7,3.2,74.3,2.7,75.8,2.4
2010,7,72.5,1.3,67.9,-0.8,73.9,2.1,76.0,2.6
2010,8,72.5,3.0,67.9,3.6,73.9,3.0,76.0,2.5
2010,9,72.8,2.6,68.4,3.2,74.0,2.5,76.1,2.0
2010,10,75.0,2.5,73.6,3.0,75.0,2.3,76.5,2.1
2010,11,75.2,2.8,73.8,3.3,75.3,2.5,76.8,2.5
2010,12,75.7,2.9,74.2,3.3,75.7,2.7,77.3,2.8
2011,1,76.1,3.4,74.7,3.6,76.1,3.2,77.5,3.5
2011,2,76.9,3.6,75.6,3.8,77.0,3.5,78.2,3.5
2011,3,77.1,4.4,76.0,4.8,77.1,4.2,78.4,4.2
2011,4,77.6,4.6,76.2,5.0,77.7,4.5,79.2,4.2
2011,5,78.0,5.2,76.7,5.6,78.1,5.2,79.5,4.9
2011,6,78.4,5.6,77.0,5.9,78.4,5.6,79.9,5.4
2011,7,78.3,7.9,76.4,12.5,78.5,6.2,80.1,5.4
2011,8,76.7,5.7,71.6,5.4,78.2,5.8,80.6,6.0
2011,9,77.0,5.8,72.0,5.2,78.4,6.0,80.8,6.3
2011,10,79.3,5.8,77.4,5.2,79.5,6.0,81.2,6.2
2011,11,79.5,5.7,77.7,5.3,79.8,6.0,81.4,5.9
2011,12,80.0,5.7,78.1,5.3,80.2,5.9,81.8,5.9
2012,1,80.7,6.1,78.8,5.4,81.0,6.3,82.4,6.4
2012,2,80.5,4.7,78.8,4.2,80.8,4.9,81.9,4.7
2012,3,80.9,4.9,79.2,4.3,81.1,5.2,82.4,5.1
2012,4,81.3,4.7,79.4,4.2,81.6,5.0,83.0,4.9
2012,5,81.3,4.3,79.6,3.8,81.6,4.6,82.9,4.3
2012,6,81.3,3.7,79.5,3.3,81.6,4.0,82.9,3.7
2012,7,79.6,1.6,74.6,-2.4,81.2,3.5,83.1,3.7
2012,8,79.6,3.7,74.6,4.1,81.2,3.8,83.2,3.2
2012,9,79.9,3.8,75.0,4.3,81.5,3.9,83.5,3.3
2012,10,82.3,3.8,80.7,4.3,82.4,3.7,83.8,3.2
2012,11,82.5,3.7,80.9,4.2,82.7,3.6,84.0,3.3
2012,12,82.9,3.7,81.4,4.2,83.1,3.6,84.5,3.3
2013,1,83.1,3.0,81.8,3.8,83.2,2.8,84.4,2.4
2013,2,84.0,4.4,82.5,4.7,84.2,4.2,85.4,4.2
2013,3,83.8,3.6,82.4,4.0,84.0,3.5,85.2,3.4
2013,4,84.6,4.0,83.2,4.7,84.7,3.8,86.0,3.5
2013,5,84.5,3.9,83.1,4.4,84.7,3.7,85.9,3.6
2013,6,84.6,4.1,83.2,4.6,84.8,3.9,86.0,3.7
2013,7,85.1,6.9,83.6,12.0,85.3,5.0,86.5,4.0
2013,8,83.2,4.5,78.2,4.9,84.8,4.4,86.7,4.3
2013,9,83.6,4.6,78.8,5.1,85.1,4.5,87.0,4.2
2013,10,85.9,4.3,84.3,4.5,86.1,4.4,87.3,4.1
2013,11,86.1,4.3,84.5,4.4,86.3,4.4,87.6,4.2
2013,12,86.5,4.3,84.9,4.3,86.7,4.4,87.9,4.1
2014,1,86.9,4.6,85.4,4.5,87.2,4.8,88.3,4.5
2014,2,87.3,3.9,86.0,4.2,87.5,4.0,88.4,3.5
2014,3,87.1,3.9,85.9,4.3,87.3,3.9,88.2,3.5
2014,4,87.7,3.7,86.4,3.9,87.9,3.8,89.0,3.5
2014,5,87.6,3.7,86.3,3.9,87.8,3.7,88.9,3.5
2014,6,87.7,3.6,86.3,3.7,87.9,3.6,88.9,3.5
2014,7,88.5,4.0,87.4,4.6,88.7,4.0,89.6,3.5
2014,8,86.5,3.9,82.0,4.8,88.0,3.8,89.5,3.2
2014,9,89.1,6.6,88.6,12.3,89.1,4.7,89.6,3.1
2014,10,90.3,5.2,90.3,7.1,90.2,4.7,90.4,3.6
2014,11,90.5,5.1,90.5,7.2,90.3,4.6,90.6,3.4
2014,12,90.7,4.9,90.6,6.9,90.6,4.4,90.8,3.2
2015,1,90.4,4.1,90.6,6.3,90.4,3.6,90.3,2.2
2015,2,91.2,4.6,91.3,6.5,91.0,4.2,91.1,3.0
2015,3,90.9,4.5,91.3,6.6,90.8,4.1,90.6,2.8
2015,4,90.2,2.8,89.8,3.9,90.2,2.6,90.6,1.9
2015,5,90.2,3.0,89.9,4.2,90.2,2.8,90.5,2.0
2015,6,90.3,3.1,90.0,4.4,90.3,2.9,90.6,2.0
2015,7,90.8,2.5,90.3,3.4,90.7,2.4,91.2,1.8
2015,8,89.1,2.4,85.7,3.0,90.4,2.4,91.2,1.8
2015,9,90.9,2.0,90.4,2.1,90.9,2.1,91.2,1.8
2015,10,92.3,2.3,92.5,2.5,92.3,2.3,92.2,1.9
2015,11,92.5,2.3,92.7,2.5,92.5,2.3,92.4,2.0
2015,12,92.8,2.4,93.0,2.6,92.7,2.4,92.7,2.1
2016,1,92.7,2.5,93.1,2.8,92.6,2.5,92.4,2.3
2016,2,93.9,3.0,94.5,3.6,93.7,2.9,93.4,2.6
2016,3,93.5,2.9,94.0,3.0,93.4,2.8,93.1,2.8
2016,4,92.6,2.7,92.5,3.0,92.6,2.7,92.7,2.4
2016,5,92.5,2.6,92.3,2.7,92.6,2.7,92.7,2.4
2016,6,92.5,2.4,92.3,2.5,92.6,2.5,92.6,2.2
2016,7,92.9,2.3,92.5,2.4,92.9,2.4,93.2,2.2
2016,8,93.0,4.3,92.6,8.0,93.1,3.0,93.3,2.3
2016,9,93.3,2.7,93.4,3.3,93.2,2.5,93.2,2.2
2016,10,93.4,1.2,93.5,1.1,93.4,1.2,93.4,1.4
2016,11,93.7,1.2,93.9,1.2,93.6,1.2,93.6,1.3
2016,12,93.9,1.2,94.0,1.1,93.8,1.2,93.9,1.3
2017,1,93.9,1.3,93.9,0.8,93.8,1.3,94.0,1.7
2017,2,93.8,-0.1,94.0,-0.6,93.7,0.0 [φ3],93.7,0.3
2017,3,94.0,0.5,94.2,0.2,93.9,0.5,93.8,0.8
2017,4,94.5,2.0,94.6,2.2,94.4,1.9,94.5,2.0
2017,5,94.4,2.0,94.5,2.3,94.2,1.8,94.4,1.9
2017,6,94.3,1.9,94.4,2.3,94.2,1.8,94.3,1.8
2017,7,94.7,2.0,94.7,2.5,94.6,1.8,94.8,1.7
2017,8,94.8,1.9,94.8,2.4,94.7,1.7,94.9,1.8
2017,9,94.6,1.4,94.7,1.5,94.4,1.3,94.5,1.4
2017,10,94.9,1.5,95.0,1.6,94.7,1.4,94.9,1.5
2017,11,95.2,1.6,95.3,1.5,95.0,1.5,95.2,1.7
2017,12,95.5,1.7,95.5,1.7,95.4,1.6,95.7,1.9
2018,1,95.5,1.7,95.7,2.0,95.3,1.6,95.4,1.5
2018,2,96.7,3.1,96.8,3.1,96.5,3.0,96.7,3.2
2018,3,96.4,2.6,96.7,2.8,96.2,2.5,96.2,2.5
2018,4,96.3,1.9,96.6,2.2,96.1,1.8,96.2,1.7
2018,5,96.4,2.1,96.7,2.3,96.2,2.0,96.2,1.9
2018,6,96.6,2.4,96.9,2.6,96.4,2.3,96.4,2.2
2018,7,96.9,2.4,97.1,2.5,96.7,2.3,96.9,2.3
2018,8,97.0,2.3,97.2,2.5,96.8,2.2,96.8,2.0
2018,9,97.2,2.7,97.9,3.3,96.8,2.5,96.8,2.4
2018,10,97.4,2.7,98.1,3.2,97.0,2.5,97.0,2.3
2018,11,97.6,2.6,98.1,3.0,97.2,2.4,97.4,2.3
2018,12,97.9,2.5,98.4,3.0,97.6,2.4,97.8,2.2
2019,1,97.8,2.4,98.3,2.8,97.5,2.3,97.5,2.3
2019,2,98.7,2.1,99.4,2.6,98.3,1.9,98.4,1.8
2019,3,98.4,2.1,99.1,2.4,98.1,1.9,98.0,1.9
2019,4,99.1,2.9,99.5,3.0,98.8,2.8,99.0,3.0
2019,5,99.0,2.8,99.6,3.1,98.7,2.6,98.7,2.7
2019,6,99.7,3.3,100.7,3.9,99.3,3.0,99.1,2.9
2019,7,100.1,3.3,101.0,3.9,99.7,3.1,99.7,2.8
2019,8,100.3,3.5,101.2,4.1,99.9,3.2,99.8,3.0
2019,9,100.3,3.2,101.3,3.5,99.8,3.1,99.7,3.0
2019,10,100.6,3.1,101.8,3.5,100.1,3.1,99.9,2.9
2019,11,100.7,3.0,101.8,3.5,100.2,2.9,99.9,2.5
2019,12,100.7,2.9,101.9,3.4,100.2,2.9,100.0,2.5
2020,1,98.5,1.4,95.6,-2.0,99.7,2.8,100.3,3.4
2020,2,101.0,2.2,101.9,2.7,100.6,2.1,100.3,1.8
2020,3,100.9,2.3,101.8,2.5,100.6,2.3,100.3,2.1
2020,4,101.0,1.9,101.8,2.3,100.6,1.9,100.4,1.5
2020,5,100.7,1.5,101.5,1.7,100.3,1.5,100.2,1.2
2020,6,100.6,0.7,101.4,0.6,100.3,0.8,100.0,0.7
2020,7,97.7,-2.3,94.8,-6.0,98.9,-0.7,99.5,-0.1
2020,8,99.9,-0.4,100.7,-0.6,99.5,-0.4,99.4,-0.1
2020,9,97.8,-2.2,94.9,-5.9,99.0,-0.7,99.7,0.0 [φ3]
2020,10,100.2,-0.4,101.3,-0.5,99.7,-0.4,99.7,-0.1
2020,11,100.3,-0.3,101.4,-0.4,99.7,-0.4,99.8,-0.1
2020,12,99.8,-1.0,100.6,-1.3,99.2,-1.0,99.5,-0.6
2021,1,101.1,2.6,102.8,7.5,100.3,0.6,100.2,-0.2
2021,2,101.4,0.5,103.3,1.3,100.7,0.1,100.3,0.0 [φ3]
2021,3,101.5,0.6,103.2,1.5,100.7,0.2,100.5,0.1
2021,4,101.8,0.8,103.5,1.6,101.0,0.3,100.8,0.4
2021,5,101.6,1.0,103.4,1.9,100.8,0.5,100.6,0.5
2021,6,101.3,0.7,102.8,1.3,100.6,0.3,100.5,0.5
2021,7,101.4,3.7,102.8,8.4,100.6,1.7,100.7,1.1
2021,8,101.5,1.6,102.9,2.2,100.7,1.3,100.8,1.4
2021,9,99.2,1.4,96.4,1.6,100.2,1.2,101.0,1.3
2021,10,102.0,1.7,103.4,2.1,101.3,1.6,101.3,1.5
2021,11,102.2,1.8,103.7,2.2,101.4,1.7,101.3,1.5
2021,12,102.2,2.4,103.7,3.0,101.4,2.2,101.4,2.0
2022,1,102.3,1.2,103.9,1.1,101.6,1.2,101.6,1.4
2022,2,103.1,1.6,104.9,1.6,102.3,1.6,102.0,1.7
,,,,,,,,,
註釋 :,,,,,,,,,
本港共有四項消費物價指數數列，以反映消費物價通脹對不同開支組別的住戶的影響。,,,,,,,,,
甲類、乙類及丙類消費物價指數分別根據較低、中等及較高開支範圍的住戶的開支模式編製而成。政府統計處亦根據上述三項指數涵蓋的所有住戶的整體開支模式，編製一項綜合消費物價指數。這指數的按年變動率，一般用以反映整體消費物價通脹。,,,,,,,,,
"甲類、乙類及丙類消費物價指數分別涵蓋本港約50%、30%及10%的住戶。這些住戶在基期內（即2019年10月至2020年9月）的每月平均開支（港元計）分別為6,500元至27,999元、28,000元至48,499元及48,500元至91,999元之間。將自基期起物價轉變的影響計算在內，甲類、乙類及丙類消費物價指數所涵蓋住戶的每月平均開支，以2021年的價格水平計算，分別大約在6,600元至28,200元之間、28,200元至48,700元之間及48,700元至92,500元之間，而綜合消費物價指數所涵蓋住戶的每月平均開支則大約在6,600元至92,500元之間。",,,,,,,,,
2019年10月起的消費物價指數是根據2019/20年住戶開支統計調查所得的開支權數編製。較早的指數則是根據舊的開支權數而經過按比例換算與新基期的指數拼接。,,,,,,,,,
按年變動率會以多於一個小數點位的指數作計算。,,,,,,,,,
2020年10月以前的按年變動率是以當時所屬基期的指數數列（例如以2014/15年為基期的指數數列），對比一年前相同基期的指數來計算的。,,,,,,,,,
有關以2014/15年為基期的消費物價指數數列，可參閱 表52A。政府統計處自2022年1月的統計月份起停止編製以2014/15年為基期的舊消費物價指數數列。,,,,,,,,,
N.A. 沒有數字,,,,,,,,,
[φ3] 數字代表增減少於 0.05%,,,,,,,,,
,,,,,,,,,
資料來源 :,,,,,,,,,
按月零售物價統計調查,,,,,,,,,
政府統計處消費物價指數組,,,,,,,,,
(查詢電話 : 3903 7374,,,,,,,,,
查詢電郵：cpi@censtatd.gov.hk),,,,,,,,,
,,,,,,,,,
發布日期: 2022年3月21日,,,,,,,,,
